Dates,Sermon Series,Sermon Title,Sermon Text,Preacher
14-Dec-2025,Christmas Carols,Joy to the World,Psalm 98,Rodney
21-Dec-2025,Christmas Carols,Silent Night,Luke 2:1 - 14,Lincoln
25-Dec-2025,Christmas Carols,O Holy Night,Romans 8:18 - 25,Lincoln
28-Dec-2025,End of Year Service,Jesus and Disciples in the Storm,Mark 4:35-41,James Lee
4-Jan-2026,The Return of the King (Revelation 17-22),The Prostitute and the Beast,Revelation 17:1 - 18,Lincoln
11-Jan-2026,The Return of the King (Revelation 17-22),Weeping or rejoicing over Babylon's fall,Revelation 18:1 - 24,Lincoln
18-Jan-2026,The Return of the King (Revelation 17-22),Hallelujah our God reigns,Revelation 19:1 - 10,Lincoln
25-Jan-2026,The Return of the King (Revelation 17-22),The Return of the King,Revelation 19:11 - 21,Lincoln
1-Feb-2026,The Return of the King (Revelation 17-22),The Millennium ,Revelation 20:1 - 15,Lincoln
8-Feb-2026,The Return of the King (Revelation 17-22),The New Creation,Revelation 21:1  - 22:5,Lincoln
15-Feb-2026,The Return of the King (Revelation 17-22),Come Lord Jesus,Revelation 22:6 - 21,Lincoln
22-Feb-2026,The Road to the Cross (Matthew),But your hearts were hard... ,Matthew 19:1 - 15,Lincoln
1-Mar-2026,The Road to the Cross (Matthew),With God all things are possible (Combined Service AGM),Matthew 19:16 - 30,Daniel Lee
8-Mar-2026,The Road to the Cross (Matthew),The Scandal of Grace,Matthew 20:1 - 16,Lincoln
15-Mar-2026,The Road to the Cross (Matthew),The way up is down,Matthew 20:17 - 34,Rodney
22-Mar-2026,The Road to the Cross (Matthew),The King enters His city,Matthew 21:1 - 11,Lincoln
29-Mar-2026,The Road to the Cross (Matthew),The King enters His temple,Matthew 21:12 - 17,Fan Yung
